1	2504	854	202	226	292	28	0
10	939	339	78	80	131	4	0
11	1480	546	153	115	187	11	0
12	1243	547	142	153	135	24	0
13	573	231	30	43	125	5	0
14	752	324	83	91	84	12	0
15	722	310	87	75	91	10	0
16	969	430	129	80	136	24	0
17	1288	506	140	128	127	18	0
18	386	147	40	27	63	3	0
19	1480	484	150	136	113	23	0
2	1593	666	138	163	241	28	0
20	646	248	61	58	86	8	0
21	323	122	23	18	64	6	0
22	522	201	52	47	61	14	0
3	1373	715	134	150	284	28	0
4	988	330	87	95	92	21	0
5	1126	473	106	135	155	10	0
6	1231	502	109	134	171	19	0
7	1067	422	87	109	145	9	0
8	884	342	81	87	111	10	0
9	893	304	93	74	100	8	0
MT	37	9	2	0	0	7	0
X	986	310	57	71	145	13	0
Y	86	18	7	2	4	2	0
