1	1379	377	105	91	137	13	0
10	1110	273	92	53	103	4	0
11	1766	461	121	105	155	22	0
12	813	224	67	57	80	6	0
13	965	239	55	59	101	3	0
14	825	219	61	54	72	8	0
15	873	224	50	55	82	20	0
16	748	204	66	45	64	2	0
17	1129	295	90	68	100	8	0
18	541	152	33	38	62	7	0
19	772	213	78	56	56	4	0
2	1962	508	133	160	160	8	0
3	1143	289	71	88	96	5	0
4	1400	304	109	64	97	9	0
5	1378	384	122	73	147	14	0
6	1269	291	81	75	107	9	0
7	2108	509	144	145	157	17	0
8	1219	304	91	95	93	5	0
9	1327	332	104	94	101	3	0
MT	37	16	5	0	0	10	0
X	974	147	23	30	65	15	0
Y	24	0	0	0	0	0	0
