1	2139	331	92	61	140	22	0
10	816	130	31	14	71	8	0
11	1355	232	75	41	81	23	0
12	1128	163	63	23	64	5	0
13	386	50	4	6	32	5	0
14	671	120	33	16	46	6	0
15	643	105	38	12	48	0	0
16	863	186	54	34	72	11	0
17	1199	194	64	31	76	14	0
18	311	42	9	4	28	0	0
19	1426	170	54	36	52	20	0
20	586	101	28	23	44	4	0
21	228	37	9	4	21	2	0
22	479	82	24	10	36	10	0
2A	688	107	33	16	49	2	0
2B	698	94	22	19	43	5	0
3	1206	205	53	34	95	10	0
4	841	139	44	15	67	5	0
5	929	167	45	32	75	11	0
6	1128	199	58	41	80	10	0
7	1038	129	27	19	66	6	0
8	734	100	22	13	52	9	0
9	839	125	40	20	43	12	0
MT	13	5	0	0	0	5	0
X	909	106	19	17	63	5	0
Y	94	0	0	0	0	0	0
